S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs)
1605,Suzuki Wagon R VXL 2018,Suzuki,2018,42000,Petrol,Manual,Islamabad,White,1000,Hatchback,17.8
1606,Suzuki Wagon R VXL 2018,Suzuki,2018,56000,Petrol,Manual,Lahore,White,1000,Hatchback,17.8
1607,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2009,Honda,2009,55135,Petrol,Manual,Sialkot,Black,1800,Sedan,17.85
1608,Suzuki Alto VXR 2019,Suzuki,2019,36000,Petrol,Manual,Punjab,Silver,660,Hatchback,17.85
1609,Suzuki Cultus Limited Edition 2017,Suzuki,2017,26500,Petrol,Manual,Sindh,Silver,1000,Hatchback,17.85
1610,Suzuki Alto VXR 2020,Suzuki,2020,40000,Petrol,Manual,Sindh,White,660,Hatchback,17.9
1611,Suzuki Swift DLX 1.3 2017,Suzuki,2017,52000,Petrol,Manual,Lahore,White,1300,Hatchback,17.9
1612,Suzuki Alto VXR 2020,Suzuki,2020,33000,Petrol,Manual,Sindh,White,660,Hatchback,17.9
1613,United Alpha 1.0 Manual 2021,United,2021,3000,Petrol,Manual,Lahore,Gold,1000,Hatchback,17.9
1614,Suzuki Spacia T 2014,Suzuki,2014,49000,Petrol,Automatic,Islamabad,White,660,Station Wagon,17.9
1615,Honda N One Premium 2013,Honda,2013,57000,Petrol,Automatic,Lahore,Red,660,Hatchback,17.95
1616,Suzuki Cultus VXR 2017,Suzuki,2017,28600,Petrol,Manual,Sindh,Blue,1000,Hatchback,17.95
1617,Suzuki Wagon R VXL 2017,Suzuki,2017,39000,Petrol,Manual,Lahore,Grey,1000,Hatchback,17.95
1618,Honda Civic VTi 1.8 i-VTEC 2008,Honda,2008,60000,Petrol,Manual,Islamabad,Grey,1800,Sedan,17.95
1619,Suzuki Alto VXR 2020,Suzuki,2020,22000,Petrol,Manual,Sindh,Silver,660,Hatchback,17.95
1620,Suzuki Alto VX 2020,Suzuki,2020,36000,Petrol,Manual,Lahore,White,660,Hatchback,17.95
1621,Suzuki Wagon R VXL 2017,Suzuki,2017,59000,Petrol,Manual,Lahore,White,1000,Hatchback,17.95
1622,Suzuki Alto VX 2020,Suzuki,2020,36000,Petrol,Manual,Punjab,White,660,Hatchback,17.95
1623,Suzuki Alto VXR 2019,Suzuki,2019,53611,Petrol,Manual,Lahore,Grey,660,Hatchback,17.95
1624,Suzuki Alto VXR 2019,Suzuki,2019,40000,Petrol,Manual,Sindh,White,660,Hatchback,17.95
1625,Honda CR-V G 2.0 1998,Honda,1998,4300,Petrol,Automatic,Islamabad,Blue,2000,SUV,17.95
1626,Suzuki Alto VXR 2020,Suzuki,2020,56000,Petrol,Manual,Karachi,Silver,660,Hatchback,17.95
1627,Suzuki Wagon R VXR 2018,Suzuki,2018,35900,Petrol,Manual,Karachi,White,1000,Hatchback,17.95
1628,Suzuki Wagon R VXL 2017,Suzuki,2017,45200,Petrol,Manual,Karachi,Brown,1000,Hatchback,17.95
1629,Suzuki Alto VXR 2019,Suzuki,2019,56000,Petrol,Manual,Karachi,Grey,660,Hatchback,17.95
1630,Changan Karvaan Base Model 1.0 2019,Changan,2019,39000,Petrol,Manual,Lahore,White,1000,Mini Van,17.99
1631,Suzuki Wagon R VXL 2017,Suzuki,2017,48500,Petrol,Manual,Lahore,White,1000,Hatchback,17.99
1632,Mitsubishi Pajero Mini Limited 2010,Mitsubishi,2010,43000,Petrol,Automatic,Islamabad,White,660,SUV,17.99
1633,Suzuki Every PC 2016,Suzuki,2016,10000,Petrol,Automatic,Un-Registered,Silver,660,Micro Van,17.99
