S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
2670,Suzuki Alto VXR 2022,Suzuki,2022,4700,Petrol,Manual,Punjab,White,660.0,Hatchback,21.8,21.56402032074311,21.47680245219908,18.91317615774784
2671,Suzuki Alto VXR 2022,Suzuki,2022,16000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.8,21.56402032074311,21.47680245219908,18.91317615774784
2672,Suzuki Wagon R VXL 2019,Suzuki,2019,23000,Petrol,Manual,Lahore,White,1000.0,Hatchback,21.8,22.53963970219229,22.542194638968795,26.796225915639567
2673,Suzuki Alto VXR 2021,Suzuki,2021,24000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.8,20.202687067481747,20.1768319911489,18.908951156042754
2674,Suzuki Swift XG 1.2 2008,Suzuki,2008,60000,Petrol,Automatic,Un-Registered,White,1200.0,Hatchback,21.8,14.350594140851172,14.711596773916426,33.0761563595439
2675,Suzuki Alto ECO-S 2014,Suzuki,2014,49500,Petrol,Automatic,Islamabad,Blue,660.0,Hatchback,21.85,13.225002677632801,13.349072101589627,18.880577457211068
2676,Suzuki Alto VXR 2022,Suzuki,2022,17300,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.85,22.289044980208928,22.252833488644683,18.913196150860223
2677,Suzuki Alto VXR 2021,Suzuki,2021,6400,Petrol,Manual,Lahore,White,660.0,Hatchback,21.85,19.0543270685057,19.04605703956622,18.908850222744377
2678,Suzuki Alto S Package 2015,Suzuki,2015,40000,Petrol,Automatic,Adda jahan khan,White,660.0,Hatchback,21.85,8.132672213710066,8.57817966122093,18.884698026736515
2679,Suzuki Wagon R VXL 2019,Suzuki,2019,47000,Petrol,Manual,Islamabad,White,1000.0,Hatchback,21.85,23.687999701168337,23.672969590551475,26.7963330675425
2680,Suzuki Alto VXR 2021,Suzuki,2021,24000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.85,20.202687067481747,20.1768319911489,18.908951156042754
2681,Suzuki Alto VXR 2022,Suzuki,2022,18000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.85,22.289044980208928,22.252833488644683,18.913196150860223
